YEAR,GoogleKnowlege_Occupation,Show,Group,Raw_Guest_List,
1999,actor,1999-03-30,Acting,Omar Epps,
1999,actress,1999-03-31,Acting,Diane Lane,
1999,actor,1999-03-04,Acting,Ryan Phillippe,
1999,actor,1999-03-08,Acting,Ian McKellen,
1999,actor,1999-03-09,Acting,Jon Voight,
1999,actor,1999-04-01,Acting,Stephen Baldwin,
1999,actor,1999-04-12,Acting,Ernie Hudson,
1999,film actor,1999-04-13,Acting,Josh Charles,
1999,actor,1999-04-14,Acting,Jackie Chan,
1999,actress,1999-04-15,Acting,Marlee Matlin,
1999,actress,1999-04-19,Acting,Sharon Lawrence,
1999,actor,1999-04-20,Acting,Rob Estes,
1999,actress,1999-04-21,Acting,Angelina Jolie,
1999,stand-up comedian,1999-04-22,Comedy,David Spade,
1999,actor,1999-04-26,Acting,Seth Green,
1999,actress,1999-04-27,Acting,Sheryl Lee Ralph,
1999,singer,1999-04-28,Musician,Chris Robinson,
1999,comedian,1999-04-29,Comedy,Joy Behar,
1999,actor,1999-05-10,Acting,Thomas Gibson,
1999,actress,1999-05-11,Acting,Paula Cale,
1999,actor,1999-05-12,Acting,Ted Danson,
1999,actor,1999-05-13,Acting,Esai Morales,
1999,actress,1999-05-17,Acting,Jane Seymour,
1999,Comedian,1999-05-18,Comedy,Robert Schimmel,
1999,actress,1999-05-19,Acting,Camryn Manheim,
1999,actor,1999-05-20,Acting,Ray Romano,
1999,television actress,1999-05-24,Acting,Patricia Richardson,
1999,actress,1999-05-25,Acting,Suzanne Somers,
1999,actress,1999-05-26,Acting,Natalie Portman,
1999,actor,1999-05-27,Acting,Jamie Foxx,
1999,actor,1999-06-10,Acting,Timothy Hutton,
1999,actor,1999-06-14,Acting,Mike Myers,
1999,actor,1999-06-15,Acting,Rob Lowe,
1999,actor,1999-06-16,Acting,Mike Myers,
1999,actress,1999-06-17,Acting,Heather Graham,
1999,film actress,1999-06-21,Acting,Felicity Huffman,
1999,television host,1999-06-22,Media,Jimmy Kimmel,
1999,actor,1999-06-23,Acting,Adam Sandler,
1999,Stand-up comedian,1999-06-24,Comedy,Richard Belzer,
1999,Comedian,1999-06-28,Comedy,Margaret Cho,
1999,actor,1999-06-29,Acting,Scott Wolf,
1999,actress,1999-06-30,Acting,Roseanne Barr,
1999,singer,1999-06-07,Musician,Harry Connick Jr.,
1999,comedian,1999-06-08,Comedy,Caroline Rhea,
1999,actor,1999-06-09,Acting,Damon Wayans,
1999,actor,1999-07-01,Acting,Rob Schneider,
1999,televison actor,1999-07-12,Acting,Adam Arkin,
1999,muppet,1999-07-13,Media,Miss Piggy,
1999,actor,1999-07-14,Acting,John Leguizamo,
1999,Stand-up comedian,1999-07-15,Comedy,Robert Klein,
1999,actress,1999-07-19,Acting,Christa Miller,
1999,stand-up comedian,1999-07-20,Comedy,David Brenner,
1999,NA,1999-07-21,NA,Third Anniversary Special,
1999,actress,1999-07-22,Acting,Joely Fisher,
1999,singer,1999-07-26,Musician,Donny Osmond,
1999,actress,1999-07-27,Acting,Wendie Malick,
1999,Vocalist,1999-07-28,Musician,Vince Neil,
1999,film actress,1999-07-29,Acting,Janeane Garofalo,
1999,comedian,1999-08-10,Comedy,Dom Irrera,
1999,actor,1999-08-11,Acting,Pierce Brosnan,
1999,director,1999-08-12,Media,Eduardo Sanchez and Daniel Myrick,
1999,film director,1999-08-12,Media,Eduardo Sanchez and Daniel Myrick,
1999,american television personality,1999-08-16,Media,Carson Daly,
1999,actress,1999-08-17,Acting,Molly Ringwald,
1999,actress,1999-08-18,Acting,Sarah Jessica Parker,
1999,actor,1999-08-19,Acting,French Stewart,
1999,actress,1999-08-02,Acting,Bebe Neuwirth,
1999,actress,1999-08-23,Acting,Cheryl Ladd,
1999,rapper,1999-08-24,Musician,LL Cool J,
1999,singer-songwriter,1999-08-25,Musician,Dwight Yoakam,
1999,actress,1999-08-26,Acting,Nia Long,
1999,actor,1999-08-03,Acting,Garry Marshall,
1999,NA,1999-08-30,NA,The Daily Show Summer Spectacular,
1999,actor,1999-08-04,Acting,Denis Leary,
1999,actor,1999-08-05,Acting,Jeffrey Tambor,
1999,actor,1999-08-09,Acting,Dave Foley,
1999,comedian,1999-09-13,Comedy,Elayne Boosler,
1999,actor,1999-09-14,Acting,Tom Green,
1999,actor,1999-09-15,Acting,Jason Priestley,
1999,stand-up comedian,1999-09-16,Comedy,David Cross,
1999,actor,1999-09-20,Acting,Andy Richter,
1999,singer,1999-09-21,Musician,Donny Osmond Marie Osmond,
1999,comedian,1999-09-22,Comedy,Dave Chappelle,
1999,actor,1999-09-23,Acting,Steve Zahn,
1999,Stand-up comedian,1999-09-27,Comedy,Norm Macdonald,
1999,actress,1999-09-28,Acting,Melissa Joan Hart,
1999,Comedian,1999-09-29,Comedy,Richard Lewis,
1999,actor,1999-09-30,Acting,Bruce McCulloch and Mark McKinney,
1999,comedian,1999-09-30,Comedy,Bruce McCulloch and Mark McKinney,
2000,football player,2000-01-10,Athletics,Joe Montana,
2000,actor,2000-01-11,Acting,Will Ferrell,
2000,rapper,2000-01-12,Musician,Ice Cube,
2000,Singer-lyricist,2000-01-13,Musician,Michael Stipe,
2000,actress,2000-01-17,Acting,Penelope Ann Miller,
2000,actor,2000-01-18,Acting,Frankie Muniz,
2000,actor,2000-01-19,Acting,Freddie Prinze Jr.,
2000,former mayor of cincinatti,2000-01-20,Politician,Jerry Springer,
2000,Film actress,2000-01-24,Acting,Selma Blair,
2000,Film actor,2000-01-25,Acting,Peter Krause,
2000,model,2000-01-26,Media,Jenny McCarthy,
2000,actor,2000-01-27,Acting,David Arquette,
2000,actress,2000-01-04,Acting,Cynthia Nixon,
2000,Singer-songwriter,2000-01-05,Musician,Robbie Williams,
2000,Stand-up comedian,2000-01-06,Comedy,Richard Belzer,
2000,singer-songwriter,2000-10-16,Musician,Alice Cooper,
2000,actor,2000-10-17,Acting,Christian Slater,
2000,actor,2000-10-18,Acting,Joshua Jackson,
2000,actor,2000-10-19,Acting,Brendan Fraser,
2000,actor,2000-10-02,Acting,Dean Cain,
2000,actor,2000-10-23,Acting,Kevin James,
2000,comedian,2000-10-24,Comedy,Jeff Garlin,
2000,businesswoman,2000-10-25,Business,Posh Spice & Baby Spice,
2000,singer,2000-10-25,Musician,Posh Spice & Baby Spice,
2000,actor,2000-10-26,Acting,Steven Weber,
2000,actor,2000-10-03,Acting,Ashton Kutcher,
2000,actress,2000-10-30,Acting,Brett Butler,
2000,journalist,2000-10-31,Media,David Frost,
2000,singer-songwriter,2000-10-04,Musician,Jewel,
2000,activist,2000-10-05,Advocacy,Ralph Nader,
2000,Media person,2000-11-01,Media,Phil Donahue,
2000,actor,2000-11-13,Acting,Adam Sandler,
2000,actress,2000-11-14,Acting,Patricia Arquette,
2000,actor,2000-11-15,Acting,Adam Sandler,
2000,actor,2000-11-16,Acting,Rhys Ifans,
2000,actor,2000-11-02,Acting,Michael Richards,
2000,NA,2000-11-20,NA,Tales of Survival with Vance DeGeneres,
2000,actor,2000-11-27,Acting,John Goodman,
2000,actress,2000-11-28,Acting,Laura San Giacomo,
2000,film actor,2000-11-29,Acting,Billy Campbell,
2000,actor,2000-11-30,Acting,Anthony Clark,
2000,former us senator,2000-11-06,Politician,Arlen Specter,
2000,american politician,2000-11-07,Politician,Bob Dole,
2000,Stand-up comedian,2000-11-08,Comedy,Richard Belzer,
2000,Filmmaker,2000-11-09,Media,Michael Moore,
2000,radio personality,2000-12-11,Media,Ira Glass,
2000,commentator,2000-12-12,Media,Greta Van Susteren,
2000,NA,2000-12-13,NA,no guest,
2000,Journalist,2000-12-14,Media,Wolf Blitzer,
2000,actress,2000-12-18,Acting,Marla Sokoloff,
2000,actress,2000-12-19,Acting,Marisa Tomei,
2000,actress,2000-12-20,Acting,Jeri Ryan,
2000,film actress,2000-12-21,Acting,Gillian Anderson,
2000,actor,2000-12-04,Acting,Thomas Gibson,
2000,actress,2000-12-05,Acting,Faith Ford,
2000,actor,2000-12-06,Acting,Chris O'Donnell,
2000,actor,2000-12-07,Acting,Marlon Wayans,
2000,actor,2000-02-01,Acting,Jeff Bridges,
2000,actor,2000-02-01,Acting,Vin Diesel,
2000,Singer-songwriter,2000-02-14,Musician,Moby,
2000,actor,2000-02-15,Acting,Dennis Farina,
2000,actor,2000-02-16,Acting,Matthew Perry,
2000,comedian,2000-02-17,Comedy,Ed McMahon,
2000,former senator from kansas,2000-02-02,Politician,"Focus on New Hampshire Special, special guest Bob Dole",
2000,actor,2000-02-22,Acting,Snoop Dogg,
2000,actress,2000-02-23,Acting,Charlize Theron,
2000,actress,2000-02-24,Acting,Rachael Leigh Cook,
2000,actor,2000-02-28,Acting,Forest Whitaker,
2000,actor,2000-02-03,Acting,Jason Priestly,
2000,actor,2000-03-01,Acting,Tobey Maguire,
2000,stand-up comedian,2000-03-13,Comedy,Eddie Izzard,
2000,actress,2000-03-14,Acting,Kim Delaney,
2000,Journalist,2000-03-15,Media,Wolf Blitzer,
2000,comedian,2000-03-16,Comedy,George Wallace,
2000,comedian,2000-03-02,Comedy,Ellen DeGeneres,
2000,actor,2000-03-20,Acting,Chris Meloni,
2000,actress,2000-03-21,Acting,Marla Sokoloff,
2000,comedian,2000-03-22,Comedy,Eric Idle,
2000,film actress,2000-03-23,Acting,Leelee Sobieski,
2000,singer-songwriter,2000-03-27,Musician,John Lydon,
2000,actor,2000-03-28,Acting,Joshua Jackson,
2000,Reporter,2000-03-29,Media,Sam Donaldson,
2000,actor,2000-03-30,Acting,Jimmy Smits,
2000,actor,2000-03-06,Acting,Neil Patrick Harris,
2000,actor,2000-03-07,Acting,Kevin Pollak,
2000,american politician,2000-03-08,Politician,Bob Dole,
2000,comedian,2000-03-09,Comedy,Garry Shandling,
2000,Singer,2000-04-10,Musician,Roger Daltrey,
2000,writer,2000-04-11,Media,Ben Stein,
2000,Film actor,2000-04-12,Acting,Patrick Stewart,
2000,actor,2000-04-13,Acting,David Alan Grier,
2000,actor,2000-04-17,Acting,Stanley Tucci,
2000,actress,2000-04-18,Acting,Samantha Mathis,
2000,professional wrestler,2000-04-19,Athletics,Diamond Dallas Page,
2000,former us senator,2000-04-20,Politician,Arlen Specter,
2000,publisher,2000-04-24,Media,Hugh Hefner and Bentley twins,
2000,model,2000-04-24,Media,Hugh Hefner and Bentley twins,
2000,actress,2000-04-25,Acting,Kirsten Dunst,
2000,film actress,2000-04-26,Acting,Jeanne Tripplehorn,
2000,actor,2000-04-27,Acting,Stephen Baldwin,
2000,Film actress,2000-05-01,Acting,S. Epatha Merkerson,
2000,actor,2000-05-10,Acting,Andy Richter,
2000,actress,2000-05-11,Acting,Betty White,
2000,television actress,2000-05-15,Acting,Tracey Ullman,
2000,actor,2000-05-16,Acting,Kyle MacLachlan,
2000,actress,2000-05-17,Acting,Jane Leeves,
2000,actor,2000-05-18,Acting,Michael Rapaport,
2000,actor,2000-05-02,Acting,Luke Wilson,
2000,actress,2000-05-03,Acting,Julie Warner,
2000,actress,2000-05-30,Acting,Laura Kightlinger,
2000,actress,2000-05-31,Acting,Thandie Newton,
2000,actor,2000-05-04,Acting,Eric Close,
2000,actress,2000-05-08,Acting,Wendie Malick,
2000,actor,2000-05-09,Acting,Jesse L. Martin,
2000,reality show contestant,2000-06-01,Media,Sonja Christopher,
2000,actor,2000-06-13,Acting,Mark Curry,
2000,television host,2000-06-14,Media,Jimmy Kimmel & Adam Carolla,
2000,comedian,2000-06-14,Comedy,Jimmy Kimmel & Adam Carolla,
2000,actress,2000-06-15,Acting,Julie Brown,
2000,writer,2000-06-19,Media,Heather Donahue,
2000,former press secretary,2000-06-20,Political Aide,Joe Lockhart,
2000,actor,2000-06-21,Acting,Freddie Prinze Jr.,
2000,actress,2000-06-22,Acting,Alicia Silverstone,
2000,comic,2000-06-26,Comedy,Cheri Oteri,
2000,game show host,2000-06-27,Media,Jeff Probst,
2000,Guitarist,2000-06-28,Musician,Richie Sambora,
2000,actor,2000-06-29,Acting,John C. Reilly,
2000,magician,2000-06-05,Media,Penn and Teller,
2000,actress,2000-06-06,Acting,Kelli Williams,
2000,Filmmaker,2000-06-07,Media,Michael Moore,
2000,actress,2000-07-10,Acting,Anna Paquin,
2000,actor,2000-07-11,Acting,J. K. Simmons,
2000,actress,2000-07-12,Acting,Famke Janssen,
2000,actor,2000-07-13,Acting,Billy Crudup,
2000,actor,2000-07-17,Acting,Shawn Wayans & Marlon Wayans,
2000,actor,2000-07-17,Acting,Shawn Wayans & Marlon Wayans,
2000,actress,2000-07-18,Acting,Halle Berry,
2000,NA,2000-07-19,NA,Fourth Anniversary Special,
2000,television personality,2000-07-20,Media,Al Roker,
2000,actor,2000-07-24,Acting,Peter Fonda,
2000,writer,2000-07-25,Media,Joe Eszterhas,
2000,actress,2000-07-26,Acting,Jennifer Beals,
2000,NA,2000-07-31,NA,"Campaign Trail to the Road to the White House Mo Rocca, Vance DeGeneres",
2000,american politician,2000-08-01,Politician,Bob Dole,
2000,former governor of nebraska,2000-08-15,Politician,Bob Kerrey,
2000,actor,2000-08-16,Acting,William Baldwin,
2000,american politician,2000-08-18,Politician,Bob Dole,
2000,Former U.S. Representative,2000-08-02,Politician,Mary Bono,
2000,actor,2000-08-22,Acting,Jeremy Piven,
2000,Musician,2000-08-23,Musician,Slash,
2000,actor,2000-08-24,Acting,Vincent D'Onofrio,
2000,american politician,2000-08-03,Politician,Bob Dole,
2000,Former United States Secretary of Labor,2000-08-04,Politician,Robert Reich and Ben Stein,
2000,writer,2000-08-04,Media,Robert Reich and Ben Stein,
2000,actor,2000-09-11,Acting,Joe Mantegna,
2000,actor,2000-09-12,Acting,Eugene Levy,
2000,boxer,2000-09-13,Athletics,Lennox Lewis,
2000,former us senator,2000-09-14,Politician,Joe Lieberman,
2000,actor,2000-09-18,Acting,Ryan Phillippe,
2000,actress,2000-09-19,Acting,Jamie Lee Curtis,
2000,rock band,2000-09-20,Musician,Barenaked Ladies,
2000,actor,2000-09-21,Acting,Jamie Foxx,
2000,comedian,2000-09-25,Comedy,Jonathan Katz,
2000,actor,2000-09-26,Acting,Bill Goldberg,
2000,actor,2000-09-27,Acting,Sylvester Stallone,
2000,actor,2000-09-28,Acting,Tony Danza,
2000,film actor,2000-09-05,Acting,Donal Logue,
2000,actor,2000-09-06,Acting,Greg Kinnear,
2000,Band,2000-09-07,Musician,Spinal Tap,
2001,singer,2001-01-10,Musician,Vitamin C,
2001,actress,2001-01-11,Acting,Julia Stiles,
2001,actor,2001-01-15,Acting,Willem Dafoe,
2001,actor,2001-01-16,Acting,Tim Robbins,
2001,Reporter,2001-01-17,Media,Sam Donaldson,
2001,actress,2001-01-18,Acting,Lynn Whitfield,
2001,television host,2001-01-22,Media,Bill O'Reilly,
2001,actor,2001-01-23,Acting,Matthew McConaughey,
2001,American football quarterback,2001-01-24,Athletics,Terry Bradshaw,
2001,actor,2001-01-25,Acting,Topher Grace,
2001,actor,2001-01-29,Acting,David Boreanaz,
2001,film actress,2001-01-30,Acting,Dyan Cannon,
2001,actor,2001-01-31,Acting,James van der Beek,
2001,Comedian,2001-01-09,Comedy,Richard Lewis,
2001,actor,2001-10-01,Acting,Kelsey Grammer,
2001,actor,2001-10-10,Acting,Jeremy Piven,
2001,journalist,2001-10-11,Media,John Miller,
2001,chef,2001-10-15,Misc,Emeril Lagasse,
2001,actress,2001-10-16,Acting,Lorraine Bracco,
2001,actor,2001-10-17,Acting,Snoop Dogg,
2001,journalist,2001-10-18,Media,Fareed Zakaria,
2001,actor,2001-10-02,Acting,James Belushi,
2001,Singer,2001-10-22,Musician,Lance Bass,
2001,journalist,2001-10-23,Media,Don Dahler,
2001,commentator,2001-10-24,Media,Greta Van Susteren,
2001,actor,2001-10-25,Acting,Jeff Bridges,
2001,professor,2001-10-03,Academic,Stephen S. Morse,
2001,actor,2001-10-30,Acting,Rob Morrow,
2001,Diplomat,2001-10-31,Government,Richard Holbrooke,
2001,actress,2001-10-04,Acting,Kate Beckinsale,
2001,actor,2001-10-09,Acting,Owen Wilson,
2001,actor,2001-11-01,Acting,Kevin Spacey,
2001,Journalist,2001-11-12,Media,Steve Kroft,
2001,television presenter,2001-11-13,Media,Anne Robinson,
2001,american television personality,2001-11-14,Media,Carson Daly,
2001,actor,2001-11-15,Acting,John Stamos,
2001,actor,2001-11-26,Acting,Edward Burns,
2001,Lawyer,2001-11-27,Misc,Star Jones,
2001,actress,2001-11-28,Acting,Jennifer Garner,
2001,journalist,2001-11-29,Media,David Halberstam,
2001,actor,2001-11-05,Acting,Paul Rudd,
2001,Political satirist,2001-11-06,Media,P. J. O'Rourke,
2001,white house sommunications director,2001-11-07,Political Aide,George Stephanopoulos,
2001,comedian,2001-11-08,Comedy,Jennifer Saunders,
2001,Comedian,2001-12-10,Comedy,Stephen Colbert as Al Sharpton (Sharpton had been the scheduled guest),
2001,comedian,2001-12-11,Comedy,Dave Gorman,
2001,film actress,2001-12-12,Acting,Janeane Garofalo,
2001,television actress,2001-12-13,Acting,Tracey Ullman,
2001,actor,2001-12-17,Acting,Elijah Wood,
2001,Author,2001-12-18,Media,Peggy Noonan,
2001,actor,2001-12-19,Acting,Gary Sinise,
2001,actor,2001-12-20,Acting,Jamie Foxx,
2001,Professor,2001-12-03,Academic,Nadine Strossen,
2001,telvision personality,2001-12-04,Media,John Edward,
2001,actress,2001-12-05,Acting,Marg Helgenberger,
2001,actor,2001-12-06,Acting,Ted Danson,
2001,actor,2001-02-01,Acting,Tim Blake Nelson,
2001,musician,2001-02-12,Musician,Dave Grohl,
2001,muppet,2001-02-13,Media,Kermit the Frog,
2001,actress,2001-02-14,Acting,Jessica Alba,
2001,Comedian,2001-02-15,Comedy,Wanda Sykes,
2001,actor,2001-02-20,Acting,Greg Germann,
2001,comedian,2001-02-21,Comedy,Chris Rock,
2001,actress,2001-02-22,Acting,Kelly Ripa,
2001,actor,2001-02-26,Acting,Ted Danson,
2001,actor,2001-02-27,Acting,Joe Pantoliano,
2001,actress,2001-02-28,Acting,Heather Locklear,
2001,Former United States Deputy Secretary of State,2001-03-01,Government,Warren Christopher,
2001,actor,2001-03-19,Acting,Chris Meloni,
2001,actress,2001-03-20,Acting,Mary Stuart Masterson,
2001,news anchor,2001-03-21,media,Jeff Varner,
2001,actor,2001-03-22,Acting,Denis Leary,
2001,Columnist,2001-03-26,Media,Richard Roeper,
2001,Comedian,2001-03-27,Comedy,Richard Lewis,
2001,television actor,2001-03-28,Acting,Mark Harmon,
2001,actress,2001-03-29,Acting,Jennifer Love Hewitt,
2001,actor,2001-03-05,Acting,Martin Short,
2001,actor,2001-03-06,Acting,Ed Burns,
2001,model,2001-03-07,Media,Carmen Electra,
2001,actor,2001-03-08,Acting,Javier Bardem,
2001,sportscaster,2001-04-10,Media,Bob Costas,
2001,actor,2001-04-11,Acting,Damon Wayans,
2001,television actress,2001-04-12,Acting,Brittany Daniel,
2001,journalist,2001-04-02,Media,Lisa Ling,
2001,television producer,2001-04-23,Media,Don Hewitt,
2001,actress,2001-04-24,Acting,Rachael Leigh Cook,
2001,actor,2001-04-25,Acting,Tom Green,
2001,actor,2001-04-26,Acting,Tom Cavanagh,
2001,actress,2001-04-03,Acting,Amy Sedaris,
2001,actor,2001-04-30,Acting,Eric McCormack,
2001,actor,2001-04-04,Acting,D.L. Hughley,
2001,actor,2001-04-05,Acting,Steven Weber,
2001,actor,2001-04-09,Acting,Paul Reubens,
2001,actor,2001-05-01,Acting,Dominic Chianese,
2001,television actress,2001-05-10,Acting,Patricia Richardson,
2001,Film actress,2001-05-14,Acting,Maura Tierney,
2001,actress,2001-05-15,Acting,Denise Quií±ones,
2001,actor,2001-05-16,Acting,Heath Ledger,
2001,former mayor of cincinatti,2001-05-17,Politician,Jerry Springer,
2001,NA,2001-05-02,NA,No guest,
2001,actor,2001-05-29,Acting,Richard Schiff,
2001,actor,2001-05-03,Acting,Robert Patrick,
2001,film actor,2001-05-30,Acting,Bradley Whitford,
2001,actress,2001-05-31,Acting,Leah Remini,
2001,singer,2001-05-07,Musician,Chris Robinson,
2001,actor,2001-05-08,Acting,James Van Der Beek,
2001,Guitarist,2001-05-09,Musician,Richie Sambora,
2001,journalist,2001-06-11,Media,Joe Queenan,
2001,bass guitarist,2001-06-12,Musician,Gene Simmons,
2001,actor,2001-06-13,Acting,David Duchovny,
2001,journalist,2001-06-14,Media,Jeff Greenfield,
2001,actor,2001-06-18,Acting,Martin Short,
2001,actor,2001-06-19,Acting,Michael Rapaport,
2001,actor,2001-06-20,Acting,Alec Baldwin,
2001,Singer,2001-06-21,Musician,Mí_a,
2001,actor,2001-06-25,Acting,Sam Robards,
2001,stunt perfomrer,2001-06-26,Acting,Johnny Knoxville,
2001,film actor,2001-06-27,Acting,Jet Li,
2001,actress,2001-06-28,Acting,Bridget Fonda,
2001,comedian,2001-06-04,Comedy,Jake Johannsen,
2001,Stand-up comedian,2001-06-05,Comedy,Richard Belzer,
2001,television personality,2001-06-06,Media,Al Roker,
2001,stand-up comedian,2001-06-07,Comedy,Bernie Mac,
2001,Pop group,2001-07-10,Musician,Spice Girls,
2001,actor,2001-07-11,Acting,James Woods,
2001,actor,2001-07-12,Acting,Vince Vaughn,
2001,actor,2001-07-16,Acting,Jon Favreau,
2001,Journalist,2001-07-17,Media,Maria Bartiromo,
2001,actor,2001-07-18,Acting,Edward Norton,
2001,actor,2001-07-19,Acting,Hank Azaria,
2001,actor,2001-07-23,Acting,Larry Miller,
2001,actor,2001-07-24,Acting,Paul Giamatti,
2001,former us senator,2001-07-25,Politician,Joe Lieberman,
2001,us senator,2001-07-26,Politician,John McCain,
2001,actress,2001-07-30,Acting,Jerri Manthey,
2001,Film actor,2001-07-31,Acting,Peter Krause,
2001,actor,2001-07-09,Acting,Sean Hayes,
2001,actor,2001-08-01,Acting,Jackie Chan,
2001,writer,2001-08-13,Media,David Rakoff,
2001,actor,2001-08-14,Acting,John Carpenter,
2001,actor,2001-08-15,Acting,Seth Green,
2001,model,2001-08-16,Media,Fabio,
2001,film actress,2001-08-02,Acting,Janeane Garofalo,
2001,actor,2001-08-20,Acting,Cuba Gooding Jr.,
2001,actor,2001-08-21,Acting,Griffin Dunne,
2001,actor,2001-08-22,Acting,Will Ferrell,
2001,Screenwriter,2001-08-23,Media,Kevin Smith,
2001,actress,2001-08-06,Acting,Andie MacDowell,
2001,comedian,2001-08-07,Comedy,Joe Rogan,
2001,Model,2001-08-08,Media,Tara Reid,
2001,actor,2001-08-09,Acting,Jason Biggs,
2001,Rock band,2001-09-10,Musician,They Might Be Giants,
2001,guitarist,2001-09-11,Musician,Dave Navarro,
2001,essayist,2001-09-24,Media,Frank Rich,
2001,broadcaster,2001-09-25,Media,Aaron Brown,
2001,journalist,2001-09-26,Media,Jeff Greenfield,
2001,Rock duo,2001-09-27,Musician,Tenacious D,
2002,actor,2002-01-10,Acting,Jack Black,
2002,journalist,2002-01-14,Media,Lesley Stahl,
2002,actor,2002-01-15,Acting,Ian McKellen,
2002,actor,2002-01-16,Acting,Colin Hanks,
2002,actor,2002-01-17,Acting,Jeremy Northam,
2002,minister,2002-01-21,Clergy,Al Sharpton,
2002,actor,2002-01-22,Acting,Anthony LaPaglia,
2002,actor,2002-01-23,Acting,Harold Ramis,
